,Country,Number of Users,Average Rating
1072,Russia,18,7.18
1073,Saudi Arabia,1,9.0
1074,Republic of Serbia,6,7.08
1075,Slovakia,2,8.0
1076,Slovenia,2,8.5
1077,South Africa,3,8.0
1078,South Korea,36,7.63
1079,Spain,111,7.5
1080,Sweden,54,7.15
1081,Switzerland,19,7.76
1082,Taiwan,19,7.04
1083,Thailand,5,7.96
1084,Turkey,1,7.5
1085,Uganda,1,7.5
1086,Ukraine,2,4.75
1087,USA,1530,7.51
1088,Uruguay,1,9.5
1089,Venezuela,3,7.0
1090,Vietnam,1,4.0
1091,Zambia,1,7.0
1092,Argentina,2,7.5
1093,Australia,42,7.65
1094,Austria,9,7.17
1095,Belarus,1,5.0
1096,Belgium,21,7.2
1097,Brazil,23,7.95
1098,Bulgaria,4,7.5
1099,Canada,81,7.3
1100,Chile,9,8.16
1101,China,5,7.74
1102,Colombia,1,10.0
1103,Croatia,4,8.7
1104,Czech Republic,5,7.4
1105,Denmark,5,6.8
1106,England,11,7.13
1107,Finland,11,7.17
1108,France,7,6.07
1109,Germany,108,7.24
1110,Greece,15,7.47
1111,Hungary,14,7.71
1112,Iceland,2,7.5
1113,India,4,7.5
1114,Indonesia,3,9.67
1115,Ireland,8,7.94
1116,Israel,5,6.78
1117,Italy,25,7.3
1118,Japan,23,7.3
1119,Latvia,4,7.31
1120,Lithuania,3,8.0
1121,Luxembourg,1,7.0
1122,Malaysia,2,7.5
1123,Mexico,5,8.57
1124,Moldova,1,6.0
1125,Netherlands,18,7.0
1126,New Zealand,7,7.14
1127,Norway,4,6.5
1128,Peru,2,9.5
1129,Philippines,3,7.0
1130,Poland,28,7.66
1131,Portugal,9,7.54
1132,Qatar,1,7.2
1133,Romania,10,7.76
1134,Russia,7,7.43
1135,Saudi Arabia,2,8.0
1136,Republic of Serbia,8,7.69
1137,Slovakia,1,7.25
1138,Slovenia,2,8.0
1139,South Africa,2,8.25
1140,South Korea,13,7.32
1141,Spain,71,7.52
1142,Sweden,21,6.9
1143,Switzerland,10,7.35
1144,Taiwan,16,8.03
1145,Thailand,11,8.23
1146,Ukraine,2,8.0
1147,USA,331,7.38
1148,Uruguay,1,9.0
1149,Venezuela,2,5.5
1150,Vietnam,1,6.0
1151,Albania,1,6.0
1152,Argentina,1,5.0
1153,Australia,22,6.54
1154,Austria,4,6.75
1155,Belgium,20,7.31
1156,Brazil,12,6.93
1157,Brunei,1,8.0
1158,Bulgaria,1,8.0
1159,Canada,95,7.35
1160,Chile,4,7.5
1161,China,8,7.38
1162,Colombia,2,7.23
1163,Czech Republic,4,6.5
1164,Denmark,5,8.1
1165,England,1,6.8
1166,Estonia,3,8.0
1167,Finland,12,6.83
1168,France,16,7.59
1169,Germany,79,7.45
1170,Greece,12,7.1
1171,Guatemala,1,7.0
1172,Hungary,3,8.67
1173,Israel,3,7.0
1174,Italy,15,7.25
1175,Japan,26,6.97
1176,Latvia,4,7.75
1177,Luxembourg,1,8.0
1178,Malaysia,3,5.23
1179,Mexico,2,7.9
1180,Netherlands,17,7.07
1181,New Zealand,6,7.17
1182,Norway,9,7.28
1183,Poland,16,6.55
1184,Portugal,6,7.49
1185,Russia,3,7.0
1186,Republic of Serbia,2,8.0
1187,South Africa,2,7.0
1188,South Korea,15,7.27
1189,Spain,44,7.64
1190,Sweden,10,7.19
1191,Switzerland,2,8.75
1192,Taiwan,9,7.5
1193,Thailand,4,7.0
1194,Ukraine,2,3.0
1195,USA,609,7.35
1196,Uruguay,1,8.0
1197,Vietnam,1,8.0
1198,Albania,1,6.0
1199,Argentina,31,8.15
1200,Australia,203,7.92
1201,Austria,36,8.17
1202,The Bahamas,1,8.75
1203,Belarus,3,9.0
1204,Belgium,99,7.84
1205,Bolivia,2,8.25
1206,Bosnia and Herzegovina,1,10.0
1207,Brazil,156,8.2
1208,Brunei,1,8.0
1209,Bulgaria,13,8.73
1210,Canada,622,7.93
1211,Chile,38,8.03
1212,China,36,8.46
1213,Colombia,12,8.39
1214,Costa Rica,3,8.5
1215,Croatia,16,8.58
1216,Czech Republic,38,7.86
1217,Denmark,46,7.95
1218,Ecuador,1,8.0
1219,England,29,7.98
1220,Estonia,17,7.99
1221,Fiji,1,10.0
1222,Finland,80,7.76
1223,France,61,7.83
1224,Germany,333,8.17
1225,Greece,83,7.85
1226,Guatemala,2,8.25
1227,Hungary,47,8.14
1228,Iceland,7,7.71
1229,India,9,7.83
1230,Indonesia,9,7.92
1231,Iran,1,8.0
1232,Iraq,1,8.0
1233,Ireland,21,8.05
1234,Israel,20,7.42
1235,Italy,114,7.93
1236,Japan,66,7.63
1237,Kenya,1,6.5
1238,Latvia,16,8.38
1239,Lithuania,25,7.96
1240,Luxembourg,3,6.67
1241,Macedonia,2,8.5
1242,Malaysia,12,7.58
1243,Mexico,43,8.4
1244,Moldova,2,9.5
1245,Mongolia,1,6.0
1246,Netherlands,111,7.91
1247,New Zealand,48,7.56
1248,Norway,43,8.0
1249,Panama,1,8.5
1250,Paraguay,1,8.0
1251,Peru,13,8.65
1252,Philippines,12,8.04
1253,Poland,189,7.93
1254,Portugal,55,7.76
1255,Puerto Rico,1,8.0
1256,Qatar,2,8.1
1257,Romania,32,8.7
1258,Russia,51,8.07
1259,Saudi Arabia,1,8.0
1260,Republic of Serbia,12,8.58
1261,Slovakia,5,8.42
1262,Slovenia,11,7.78
1263,South Africa,12,8.08
1264,South Korea,49,7.75
1265,Spain,327,8.1
1266,Sri Lanka,1,8.0
1267,Sweden,135,7.86
1268,Switzerland,25,8.24
1269,Taiwan,43,8.36
1270,Thailand,15,7.56
1271,Trinidad and Tobago,1,8.0
1272,Turkey,5,9.1
1273,Uganda,1,9.0
1274,Ukraine,13,8.58
1275,USA,3444,7.97
1276,Uruguay,2,9.0
1277,Venezuela,4,9.25
1278,Vietnam,3,7.83
1279,Argentina,3,8.33
1280,Australia,33,7.89
1281,Austria,5,6.9
1282,Belarus,1,9.0
1283,Belgium,17,7.44
1284,Bolivia,1,9.0
1285,Brazil,11,7.68
1286,Bulgaria,1,6.0
1287,Canada,114,7.65
1288,Chile,4,8.38
1289,China,2,7.5
1290,Colombia,1,9.0
1291,Croatia,2,8.5
1292,Czech Republic,12,7.25
1293,Denmark,6,7.5
1294,England,5,7.7
1295,Estonia,2,7.0
1296,Finland,29,7.34
1297,France,11,7.55
1298,Germany,88,7.0
1299,Greece,5,7.78
1300,Hungary,5,7.2
1301,India,2,7.0
1302,Indonesia,3,8.33
1303,Ireland,3,7.5
1304,Israel,1,9.0
1305,Italy,18,7.47
1306,Japan,13,6.95
1307,Latvia,1,7.5
1308,Lithuania,1,5.0
1309,Macedonia,2,8.5
1310,Malaysia,3,7.93
1311,Mexico,2,7.65
1312,Netherlands,40,7.32
1313,New Zealand,9,7.21
1314,Norway,11,7.18
1315,Poland,11,7.36
1316,Portugal,7,7.8
1317,Romania,2,9.05
1318,Russia,15,7.4
1319,Republic of Serbia,1,6.0
1320,Slovakia,1,4.0
1321,Slovenia,1,7.0
1322,South Africa,2,6.25
1323,South Korea,15,6.9
1324,Spain,44,7.41
1325,Sweden,29,7.48
1326,Switzerland,2,8.0
1327,Taiwan,3,8.5
1328,Thailand,1,7.5
1329,Ukraine,3,8.03
1330,USA,635,7.46
1331,Argentina,3,6.67
1332,Australia,47,6.12
1333,Belgium,3,8.33
1334,Brazil,9,6.54
1335,Bulgaria,6,6.5
1336,Canada,127,7.01
1337,Chile,4,7.5
1338,China,1,6.0
1339,Costa Rica,2,6.0
1340,Croatia,1,9.0
1341,Czech Republic,1,5.0
1342,Denmark,2,7.5
1343,England,2,6.25
1344,Estonia,1,4.0
1345,Finland,8,5.58
1346,Germany,9,5.39
1347,Greece,5,7.2
1348,Hungary,1,1.0
1349,Iceland,2,7.75
1350,India,2,5.5
1351,Ireland,5,7.4
1352,Israel,2,8.25
1353,Italy,5,7.4
1354,Latvia,2,7.0
1355,Lithuania,1,5.0
1356,Macedonia,1,8.0
1357,Malaysia,1,6.0
1358,Mexico,6,7.67
1359,Netherlands,9,7.47
1360,New Zealand,6,8.17
1361,Norway,2,3.0
1362,Peru,1,5.0
1363,Philippines,5,6.7
1364,Poland,2,5.75
1365,Romania,5,6.3
1366,Russia,1,3.0
1367,Slovakia,1,6.0
1368,Slovenia,1,10.0
1369,South Africa,2,1.0
1370,South Korea,1,6.0
1371,Spain,15,7.37
1372,Sri Lanka,1,6.0
1373,Sweden,11,7.0
1374,Switzerland,2,7.0
1375,Taiwan,1,9.0
1376,Thailand,1,5.0
1377,Turkey,2,8.0
1378,USA,795,6.77
1379,Venezuela,1,7.0
1380,Argentina,6,8.35
1381,Australia,31,7.72
1382,Austria,3,7.5
1383,Belarus,1,8.0
1384,Belgium,3,7.33
1385,Brazil,16,8.38
1386,Canada,80,8.03
1387,Chile,3,6.67
1388,China,10,7.44
1389,Colombia,1,10.0
1390,Croatia,1,6.5
1391,Czech Republic,9,8.56
1392,Denmark,7,8.14
1393,England,6,7.58
1394,Estonia,2,9.65
1395,Finland,13,7.98
1396,France,5,7.15
1397,Germany,29,7.43
1398,Greece,7,8.94
1399,Hungary,4,8.0
1400,Iceland,1,7.5
1401,India,3,8.17
1402,Ireland,3,7.83
1403,Israel,2,7.0
1404,Italy,8,8.1
1405,Japan,11,6.64
1406,Latvia,4,8.38
1407,Lebanon,1,8.0
1408,Lithuania,4,7.75
1409,Malaysia,2,8.25
1410,Mexico,6,7.5
1411,Netherlands,9,8.06
1412,New Zealand,4,6.38
1413,Norway,6,7.08
1414,Philippines,2,7.5
1415,Poland,21,7.62
1416,Portugal,6,7.85
1417,Romania,3,8.2
1418,Russia,9,7.5
1419,Republic of Serbia,1,8.5
1420,Slovakia,1,9.0
1421,South Africa,2,8.0
1422,South Korea,9,7.74
1423,Spain,29,8.04
1424,Sweden,16,6.9
1425,Switzerland,2,7.75
1426,Taiwan,6,7.3
1427,Thailand,2,10.0
1428,Ukraine,4,9.15
1429,USA,520,7.98
1430,Vietnam,3,7.83
1431,Albania,1,8.5
1432,Argentina,59,9.28
1433,Australia,318,9.17
1434,Austria,44,9.21
1435,Azerbaijan,1,9.0
1436,The Bahamas,2,8.75
1437,Belarus,7,9.36
1438,Belgium,151,9.1
1439,Bolivia,3,9.17
1440,Bosnia and Herzegovina,1,10.0
1441,Brazil,249,9.23
1442,Brunei,1,10.0
1443,Bulgaria,23,9.26
1444,Canada,1089,9.13
1445,Chile,63,9.34
1446,China,54,9.27
1447,Colombia,21,9.25
1448,Costa Rica,6,9.5
1449,Croatia,28,9.36
1450,Cyprus,2,8.75
1451,Czech Republic,50,9.25
1452,Denmark,77,9.14
1453,Dominican Republic,1,9.0
1454,Ecuador,3,9.33
1455,England,43,9.1
1456,Estonia,23,9.42
1457,Fiji,1,9.0
1458,Finland,104,8.97
1459,France,93,9.24
1460,Germany,482,9.32
1461,Greece,124,9.18
1462,Guatemala,4,9.25
1463,Honduras,1,8.4
1464,Hungary,70,9.23
1465,Iceland,13,9.23
1466,India,19,9.37
1467,Indonesia,22,9.25
1468,Iran,7,9.57
1469,Iraq,1,9.0
1470,Ireland,33,9.09
1471,Israel,37,9.19
1472,Italy,189,9.11
1473,Japan,80,9.3
1474,Kenya,1,8.5
1475,Latvia,22,9.34
1476,Lebanon,2,9.0
1477,Lithuania,32,9.41
1478,Luxembourg,5,9.4
1479,Macedonia,4,9.5
1480,Malaysia,23,9.01
1481,Mexico,91,9.34
1482,Moldova,3,9.33
1483,Mongolia,1,9.0
1484,Netherlands,170,9.09
1485,New Zealand,78,9.13
1486,Norway,56,9.06
1487,Panama,1,9.0
1488,Paraguay,1,10.0
1489,Peru,14,9.39
1490,Philippines,18,9.34
1491,Poland,292,9.26
1492,Portugal,91,9.27
1493,Puerto Rico,1,10.0
1494,Qatar,2,9.4
1495,Romania,61,9.27
1496,Russia,62,9.36
1497,Rwanda,1,9.0
1498,Saudi Arabia,3,9.33
1499,Republic of Serbia,26,9.44
1500,Slovakia,12,9.35
1501,Slovenia,18,9.21
1502,South Africa,28,9.33
1503,South Korea,64,9.16
1504,Spain,483,9.18
1505,Sri Lanka,1,9.0
1506,Sweden,206,9.18
1507,Switzerland,45,9.28
1508,Taiwan,62,9.15
1509,Thailand,25,9.33
1510,Trinidad and Tobago,1,9.0
1511,Turkey,13,9.27
1512,Uganda,1,8.5
1513,Ukraine,23,9.38
1514,United Arab Emirates,2,10.0
1515,USA,6114,9.22
1516,Uruguay,8,9.25
1517,Venezuela,7,9.41
1518,Vietnam,4,9.41
1519,Zambia,1,9.0
1520,Argentina,4,8.5
1521,Australia,41,6.79
1522,Austria,15,7.51
1523,Belgium,45,7.69
1524,Brazil,11,7.29
1525,Brunei,1,8.0
1526,Bulgaria,1,8.0
1527,Canada,188,7.08
1528,Chile,5,6.6
1529,China,5,8.0
1530,Colombia,1,6.5
1531,Czech Republic,12,6.92
1532,Denmark,5,8.2
1533,England,8,7.25
1534,Estonia,1,8.0
1535,Finland,14,6.9
1536,France,27,7.41
1537,Germany,186,7.87
1538,Greece,15,7.53
1539,Hungary,14,6.97
1540,India,2,5.0
1541,Indonesia,1,7.0
1542,Ireland,3,8.33
1543,Israel,2,7.0
1544,Italy,45,7.26
1545,Japan,7,6.57
1546,Latvia,1,6.0
1547,Lithuania,2,8.5
1548,Luxembourg,1,9.0
1549,Malaysia,1,7.5
1550,Mexico,3,6.17
1551,Netherlands,82,7.67
1552,New Zealand,13,6.74
1553,Norway,13,7.19
1554,Philippines,1,8.0
1555,Poland,29,7.12
1556,Portugal,3,6.33
1557,Qatar,1,2.0
1558,Romania,8,7.63
1559,Russia,13,7.08
1560,Rwanda,1,8.0
1561,Republic of Serbia,2,10.0
1562,Slovakia,1,4.0
1563,Slovenia,4,6.43
1564,South Africa,2,8.5
1565,South Korea,6,6.17
1566,Spain,65,7.0
1567,Sweden,18,6.87
1568,Switzerland,13,7.42
1569,Taiwan,4,7.8
1570,Ukraine,2,5.5
1571,USA,884,7.09
1572,Uruguay,1,8.0
1573,Argentina,6,8.33
1574,Australia,34,8.31
1575,Austria,3,9.67
1576,Belarus,1,6.0
1577,Belgium,13,8.54
1578,Brazil,34,8.74
1579,Bulgaria,3,8.0
1580,Canada,110,8.54
1581,Chile,5,8.2
1582,China,7,7.7
1583,Colombia,3,8.83
1584,Croatia,1,6.3
1585,Czech Republic,6,8.5
1586,Denmark,8,7.44
1587,England,10,8.4
1588,Estonia,3,8.48
1589,Finland,7,8.21
1590,France,14,8.98
1591,Germany,58,8.5
1592,Greece,12,9.15
1593,Honduras,1,9.0
1594,Hungary,7,8.21
1595,Iceland,3,7.83
1596,India,3,9.17
1597,Indonesia,1,8.0
1598,Ireland,2,9.5
1599,Israel,6,8.4
1600,Italy,29,8.27
1601,Japan,19,8.55
1602,Latvia,3,8.0
1603,Lithuania,6,8.83
1604,Luxembourg,1,8.0
1605,Malaysia,1,7.5
1606,Mexico,6,8.42
1607,Netherlands,14,8.51
1608,New Zealand,7,7.43
1609,Norway,8,8.19
1610,Philippines,4,8.25
1611,Poland,39,8.47
1612,Portugal,6,8.58
1613,Qatar,1,8.0
1614,Romania,5,9.76
1615,Russia,6,8.11
1616,Republic of Serbia,4,9.0
1617,Slovakia,1,10.0
1618,South Africa,5,8.2
1619,South Korea,13,8.61
1620,Spain,46,7.84
1621,Sweden,16,8.3
1622,Switzerland,5,8.2
1623,Taiwan,7,8.79
1624,Thailand,5,8.0
1625,Ukraine,5,8.0
1626,USA,495,8.44
1627,Uruguay,1,9.0
1628,Venezuela,2,8.5
1629,Vietnam,1,5.0
1630,Argentina,6,8.5
1631,Australia,51,7.65
1632,Austria,15,9.0
1633,Azerbaijan,1,8.0
1634,Belgium,42,8.52
1635,Brazil,39,8.71
1636,Bulgaria,1,8.0
1637,Canada,185,8.01
1638,Chile,4,8.15
1639,China,22,8.79
1640,Colombia,4,7.88
1641,Croatia,1,9.0
1642,Czech Republic,12,7.53
1643,Denmark,12,7.42
1644,Ecuador,1,8.0
1645,England,12,7.71
1646,Estonia,6,8.3
1647,Finland,35,7.75
1648,France,39,8.26
1649,Germany,155,8.53
1650,Greece,28,8.55
1651,Hungary,11,8.07
1652,Iceland,1,8.5
1653,India,3,8.17
1654,Indonesia,3,9.08
1655,Ireland,7,7.57
1656,Israel,8,8.44
1657,Italy,69,8.47
1658,Japan,23,7.4
1659,Latvia,7,8.43
1660,Lithuania,5,8.8
1661,Luxembourg,3,8.0
1662,Malaysia,9,7.13
1663,Mexico,4,9.25
1664,Mongolia,1,7.0
1665,Netherlands,30,8.18
1666,New Zealand,17,7.37
1667,Norway,12,8.75
1668,Peru,2,9.25
1669,Philippines,4,8.13
1670,Poland,61,8.37
1671,Portugal,7,8.03
1672,Qatar,1,5.4
1673,Romania,4,9.0
1674,Russia,9,7.56
1675,Republic of Serbia,2,9.4
1676,Slovakia,2,7.0
1677,Slovenia,5,9.08
1678,South Africa,5,7.7
1679,South Korea,27,8.35
1680,Spain,136,8.4
1681,Sweden,29,7.94
1682,Switzerland,12,9.08
1683,Taiwan,24,8.4
1684,Thailand,5,8.0
1685,Turkey,1,9.0
1686,Ukraine,3,8.2
1687,USA,839,7.76
1688,Venezuela,2,10.0
1689,Argentina,10,8.3
1690,Australia,66,6.99
1691,Austria,8,6.88
1692,The Bahamas,1,9.0
1693,Belgium,29,7.79
1694,Bolivia,1,8.0
1695,Brazil,33,8.34
1696,Bulgaria,2,6.5
1697,Canada,212,7.24
1698,Chile,11,7.86
1699,China,11,7.97
1700,Colombia,2,6.5
1701,Croatia,4,8.25
1702,Czech Republic,5,6.9
1703,Denmark,16,5.88
1704,England,8,7.19
1705,Estonia,3,7.33
1706,Finland,30,6.58
1707,France,15,7.51
1708,Germany,82,7.31
1709,Greece,26,8.76
1710,Guatemala,1,10.0
1711,Hungary,12,8.25
1712,Iceland,2,9.0
1713,India,3,8.33
1714,Indonesia,3,8.5
1715,Ireland,8,6.38
1716,Israel,5,8.8
1717,Italy,41,8.22
1718,Japan,10,5.65
1719,Latvia,7,8.0
1720,Lithuania,5,6.8
1721,Luxembourg,1,9.0
1722,Malaysia,5,5.9
1723,Mexico,14,8.02
1724,Moldova,2,7.5
1725,Netherlands,41,7.41
1726,New Zealand,19,7.27
1727,Norway,21,7.12
1728,Peru,4,6.5
1729,Philippines,3,6.67
1730,Poland,47,7.61
1731,Portugal,17,7.75
1732,Qatar,2,8.6
1733,Romania,4,9.0
1734,Russia,11,7.7
1735,Saudi Arabia,1,9.0
1736,Republic of Serbia,4,7.5
1737,Slovakia,2,8.5
1738,Slovenia,4,7.75
1739,South Africa,2,7.0
1740,South Korea,11,6.91
1741,Spain,91,8.22
1742,Sweden,36,6.5
1743,Switzerland,9,8.56
1744,Taiwan,4,8.38
1745,Thailand,5,6.6
1746,Turkey,2,6.0
1747,Uganda,1,5.5
1748,Ukraine,2,4.0
1749,USA,1214,7.34
1750,Venezuela,1,10.0
1751,Vietnam,1,6.0
1752,Albania,1,7.5
1753,Argentina,21,7.56
1754,Australia,99,7.38
1755,Austria,18,7.78
1756,Belarus,3,9.17
1757,Belgium,84,7.96
1758,Bolivia,1,9.0
1759,Brazil,85,7.8
1760,Brunei,1,7.0
1761,Bulgaria,6,7.17
1762,Canada,319,7.56
1763,Chile,17,8.29
1764,China,34,7.92
1765,Colombia,6,7.25
1766,Croatia,9,8.17
1767,Czech Republic,28,7.39
1768,Denmark,20,7.04
1769,England,12,7.73
1770,Estonia,11,7.39
1771,Finland,43,7.44
1772,France,48,7.88
1773,Germany,150,7.81
1774,Greece,50,7.61
1775,Guatemala,1,10.0
1776,Hungary,28,7.83
1777,Iceland,1,7.5
1778,India,7,7.57
1779,Indonesia,6,7.67
1780,Ireland,11,8.27
1781,Israel,22,7.93
1782,Italy,92,7.7
1783,Japan,41,7.13
1784,Latvia,12,8.03
1785,Lebanon,1,7.0
1786,Lithuania,15,7.48
1787,Luxembourg,4,7.7
1788,Malaysia,11,7.38
1789,Mexico,10,7.92
1790,Moldova,1,8.0
1791,Mongolia,1,9.0
1792,Netherlands,76,7.61
1793,New Zealand,26,7.46
1794,Norway,20,7.2
1795,Peru,3,7.33
1796,Philippines,7,8.71
1797,Poland,104,7.8
1798,Portugal,12,7.42
1799,Qatar,1,6.4
1800,Romania,19,8.52
1801,Russia,32,7.86
1802,Saudi Arabia,2,8.5
1803,Republic of Serbia,6,7.92
1804,Slovakia,2,5.75
1805,Slovenia,9,8.37
1806,South Africa,5,7.6
1807,South Korea,41,7.25
1808,Spain,249,7.78
1809,Sweden,61,7.34
1810,Switzerland,15,7.73
1811,Taiwan,41,8.33
1812,Thailand,11,8.12
1813,Turkey,4,8.38
1814,Ukraine,12,8.0
1815,USA,1582,7.54
1816,Uruguay,1,7.5
1817,Venezuela,4,9.25
1818,Vietnam,2,6.88
1819,Argentina,6,6.5
1820,Australia,44,5.93
1821,Austria,6,5.25
1822,Belgium,16,6.13
1823,Brazil,34,6.13
1824,Brunei,1,8.0
1825,Bulgaria,2,8.0
1826,Canada,171,6.02
1827,Chile,7,5.37
1828,China,5,4.3
1829,Colombia,1,5.0
1830,Costa Rica,3,6.33
1831,Croatia,4,5.75
1832,Czech Republic,2,5.5
1833,Denmark,6,5.88
1834,England,4,5.95
1835,Estonia,1,9.0
1836,Finland,10,5.65
1837,France,12,6.44
1838,Germany,59,6.19
1839,Greece,8,6.99
1840,Guatemala,1,7.0
1841,Honduras,1,7.0
1842,Hungary,2,7.0
1843,Indonesia,1,4.0
1844,Ireland,5,6.2
1845,Israel,7,6.79
1846,Italy,31,5.68
1847,Japan,15,5.61
1848,Latvia,2,3.5
1849,Lithuania,1,7.0
1850,Luxembourg,1,8.0
1851,Macedonia,1,5.0
1852,Malaysia,4,5.0
1853,Mexico,6,6.1
1854,Netherlands,23,5.78
1855,New Zealand,8,5.55
1856,Norway,12,5.71
1857,Philippines,5,6.2
1858,Poland,18,5.67
1859,Portugal,10,7.48
1860,Romania,2,7.5
1861,Russia,3,6.0
1862,Saudi Arabia,1,6.0
1863,Republic of Serbia,5,6.6
1864,Slovenia,2,7.5
1865,South Africa,2,4.5
1866,South Korea,18,6.35
1867,Spain,33,6.3
1868,Sweden,17,5.35
1869,Switzerland,3,6.0
1870,Taiwan,5,7.4
1871,Thailand,3,8.33
1872,Ukraine,2,8.05
1873,USA,976,5.94
1874,Venezuela,1,7.0
1875,Argentina,15,8.18
1876,Australia,83,7.89
1877,Austria,9,8.11
1878,Belarus,3,8.33
1879,Belgium,25,7.35
1880,Bolivia,1,7.0
1881,Brazil,32,8.54
1882,Bulgaria,9,7.94
1883,Canada,210,8.14
1884,Chile,11,7.14
1885,China,18,7.91
1886,Colombia,8,7.85
1887,Costa Rica,1,7.0
1888,Croatia,4,7.5
1889,Czech Republic,10,9.2
1890,Denmark,11,7.65
1891,Ecuador,1,8.0
1892,England,10,8.02
1893,Estonia,1,8.7
1894,Finland,11,8.15
1895,France,31,8.48
1896,Germany,130,7.8
1897,Greece,26,8.44
1898,Hungary,13,7.61
1899,Iceland,2,9.0
1900,India,7,8.93
1901,Indonesia,5,8.8
1902,Ireland,13,8.38
1903,Israel,15,8.66
1904,Italy,46,7.77
1905,Japan,19,6.84
1906,Latvia,8,8.13
1907,Lithuania,7,7.07
1908,Luxembourg,2,8.5
1909,Macedonia,2,8.0
1910,Malaysia,3,7.83
1911,Mexico,19,8.07
1912,Moldova,2,9.0
1913,Netherlands,31,8.0
1914,New Zealand,16,7.5
1915,Norway,10,7.31
1916,Paraguay,1,8.0
1917,Peru,3,9.67
1918,Philippines,7,8.36
1919,Poland,73,8.35
1920,Portugal,20,7.98
1921,Qatar,1,8.2
1922,Romania,12,8.72
1923,Russia,12,7.83
1924,Saudi Arabia,2,8.0
1925,Republic of Serbia,8,6.88
1926,Slovakia,5,7.85
1927,Slovenia,3,8.33
1928,South Africa,8,8.35
1929,South Korea,19,7.64
1930,Spain,114,7.96
1931,Sweden,36,7.85
1932,Switzerland,15,7.5
1933,Taiwan,13,8.45
1934,Thailand,8,7.56
1935,Uganda,1,8.0
1936,Ukraine,6,7.83
1937,USA,1153,8.08
1938,Uruguay,2,8.0
1939,Venezuela,1,9.0
1940,Vietnam,2,8.25
1941,Argentina,10,7.25
1942,Australia,43,7.05
1943,Austria,7,7.86
1944,Belarus,1,8.0
1945,Belgium,16,6.6
1946,Brazil,57,7.39
1947,Bulgaria,1,6.0
1948,Canada,121,7.3
1949,Chile,11,7.43
1950,China,6,7.07
1951,Colombia,4,7.28
1952,Croatia,3,6.47
1953,Czech Republic,9,6.22
1954,Denmark,5,5.6
1955,England,5,7.0
1956,Estonia,4,6.25
1957,Finland,31,7.43
1958,France,18,7.68
1959,Germany,74,7.47
1960,Greece,17,7.21
1961,Hungary,11,7.73
1962,India,2,7.0
1963,Indonesia,2,8.5
1964,Israel,7,8.36
1965,Italy,47,7.25
1966,Japan,36,7.34
1967,Latvia,5,7.1
1968,Lithuania,5,7.6
1969,Luxembourg,2,5.5
1970,Malaysia,3,6.83
1971,Mexico,5,8.08
1972,Netherlands,23,7.21
1973,New Zealand,15,7.35
1974,Norway,8,7.19
1975,Philippines,4,6.5
1976,Poland,36,7.1
1977,Portugal,9,7.12
1978,Romania,3,7.67
1979,Russia,14,7.0
1980,Saudi Arabia,1,7.0
1981,Republic of Serbia,1,6.0
1982,Slovakia,2,6.0
1983,Slovenia,1,8.0
1984,South Africa,3,7.33
1985,South Korea,23,7.28
1986,Spain,99,7.4
1987,Sweden,15,7.3
1988,Switzerland,7,8.27
1989,Taiwan,23,7.43
1990,Thailand,4,8.38
1991,Ukraine,3,5.67
1992,USA,684,7.25
1993,Uruguay,1,8.0
1994,Venezuela,2,7.75
1995,Vietnam,2,8.38
1996,Argentina,9,8.06
1997,Australia,23,7.6
1998,Austria,8,8.19
1999,Belarus,1,6.0
2000,Belgium,11,7.37
2001,Brazil,13,8.07
2002,Bulgaria,3,6.67
2003,Canada,58,7.48
2004,Chile,5,7.24
2005,China,6,8.03
2006,Colombia,4,8.63
2007,Costa Rica,2,7.0
2008,Croatia,2,9.0
2009,Czech Republic,4,7.0
2010,Denmark,4,5.25
2011,Ecuador,1,9.0
2012,England,8,7.96
2013,Estonia,2,7.5
2014,Finland,13,7.58
2015,France,21,8.07
2016,Germany,99,7.59
2017,Greece,13,7.42
2018,Hungary,10,7.2
2019,Iceland,2,9.0
2020,India,1,9.0
2021,Indonesia,1,8.5
2022,Ireland,6,7.75
2023,Israel,5,6.45
2024,Italy,30,7.1
2025,Japan,17,6.69
2026,Latvia,3,7.75
2027,Lithuania,2,8.0
2028,Luxembourg,2,7.75
2029,Malaysia,2,8.25
2030,Mexico,7,8.29
2031,Netherlands,12,7.61
2032,New Zealand,7,7.0
2033,Norway,7,6.57
2034,Peru,1,8.0
2035,Philippines,2,7.0
2036,Poland,41,7.54
2037,Portugal,7,7.93
2038,Romania,7,7.93
2039,Russia,4,7.13
2040,Saudi Arabia,1,9.0
2041,Republic of Serbia,4,7.88
2042,Slovakia,1,5.5
2043,Slovenia,1,8.0
2044,South Africa,2,7.2
2045,South Korea,13,7.14
2046,Spain,79,7.49
2047,Sweden,15,7.43
2048,Switzerland,8,7.06
2049,Taiwan,8,7.29
2050,Thailand,5,7.34
2051,Turkey,1,8.5
2052,Uganda,1,8.0
2053,Ukraine,2,10.0
2054,USA,325,7.35
2055,Venezuela,2,7.0
2056,Argentina,5,8.06
2057,Australia,57,7.37
2058,Austria,8,6.88
2059,Belgium,12,7.13
2060,Brazil,33,8.19
2061,Bulgaria,2,7.5
2062,Canada,141,7.38
2063,Chile,3,6.67
2064,China,3,5.83
2065,Colombia,1,8.5
2066,Croatia,4,7.75
2067,Czech Republic,4,5.5
2068,Denmark,7,6.8
